asana_name,eng_name,level,pose_type,instructions,drishti,cautions,benefits
Astavakrasana,Eight Angle Pose,Advanced,"Arm Balances, Balancing, Core, Twists","Begin sitting with the legs outstretched.Exhale and bend the right knee, lifting the foot. At the same time, place the right palm near the right buttock. Rest the knee over the upper right arm.Place the left palm outside of the left thigh so that the hands are shoulder distance wide.Lift the left foot and hook it under the right foot. Flex the feet.Inhale, bend forward and lift the hips from the floor.Exhale and straighten the legs. Bend the arms and balance.Breathe while holding the pose.Inhale and straighten the arms. Exhale and release to the floor, then change sides.",Tip of the nose,Avoid if you have wrist or shoulder injury,"Strengthens arms, shoulders and wrists
Tones abdominal muscles
Improves digestion
Aids in detoxification
Improves balance and focus"
Baddha Konasana,Butterfly Pose,Beginner,"Binds, Hip Openers, Seated Poses",Sit with your legs stretched in front of you.Exhale and bring the soles of your feet together and toward your pelvis. Lightly grasp the outsides of your feet.Let your knees relax toward the floor.Breathe while holding the pose.,Tip of the nose,No known cautions.,"Opens the hips
Relieves urinary disorders
Relieves sciatica
Promotes female reproductive health
Calms the mind"
Bakasana,Crane Pose,Advanced,"Arm Balances, Balancing, Core, Strength","From a squat, place the hands on the floor in between the feet.Squeeze the upper arms with the knees.Exhale and lean forward, lifting the toes from the floor. Straighten the arms.Breathe while holding the pose.",Tip of the nose,Avoid if there is wrist or shoulder injury,"Strengthens the core
Strengthens the arms and wrists
Develops focus and concentration
Improves balance"
Balasana,Child's Pose,Beginner,"Forward Bends, Restorative, Seated Poses","Begin in thunderbolt pose with the legs folded under.Exhale and bend forward, lowering the forehead to the floor.Rest the arms alongside the body, palms facing up.Breathe deeply while holding the pose.",Third Eye,Support the head with a block or stacked fists if it does not reach the floor,"Gently stretches the hips, thighs, spine and shoulders
Stimulates digestion
Relieves stress, anxiety and fatigue
Calms the mind"
Bharadvajasana,Bharadvaja's Twist,Intermediate,"Binds, Hip Openers, Seated Poses, Twists","From thunderbolt pose, shift the hips to the right.Rest the right foot on the arch of the left.Tuck the left hand under the right thigh.Exhale and twist to the right. Reach the right arm behind and grasp the left arm.Breathe while holding the pose.",Side,Avoid if there is back injury,"Improves spinal flexibility
Calms the mind
Encourages detoxification "
Bhujangasana,Cobra Pose,Beginner,"Backbends, Chest Openers","Lie on your stomach with your feet as wide as your hips and your hands next to your chest, fingers spread wide.With an inhale, push into your hands to lift your head and torso, keeping your pelvis on the floor.Bend your elbows slightly to open up your shoulders.Breathe while holding the pose.",Tip of the nose,Avoid if you have a hernia,"Improves spinal flexibility
Relieves backache
Stimulates appetite
Supports a healthy reproductive system
Encourages deep breathing"
Bitilasana,Cow Pose,Beginner,"Backbends, Strength","Start on all fours.Bring your knees under your hips and your hands under your shoulders.Inhale and arch your spine, dropping your belly toward the floor.",Toward the sky,Avoid if there is knee or wrist injury,"Stretches the spine
Improves posture
Strengthens the arms
Relieves back pain"
Camatkarasana,Wild Thing Pose,Intermediate,"Backbends, Balancing, Chest Openers, Strength",Begin in downward-facing dog pose.Inhale and lift the right leg and hand off the floor.Exhale and reach the right leg up and over so that the foot rests on the floor behind the left leg.Inhale and reach the right hand toward the sky.Breathe while holding the pose.,Toward the sky,Avoid if there is wrist or shoulder injury,"Improves balance
Opens the chest
Relieves fatigue
Improves mental clarity"
Chakrasana,Wheel Pose,Advanced,"Backbends, Chest Openers, Strength","Lie on your back and bend your knees so that your feet are flat on the floor near your bottom.Inhale and reach your arms up. Bend your elbows and place your hands on either side of your head.Push into your hands, lift your hips, and gently rest on the top of your head with an inhale.Straighten your arms and lift your navel toward the sky with an exhale.Breathe while holding the pose.",Tip of the nose,Avoid if you have weak wrists and back.,"Strengthens the arms and legs
Develops spinal flexibility
Opens the chest
Increases energy"
Chaturanga Dandasana,Low Plank Pose,Beginner,"Core, Strength",Begin in plank.Exhale and bend the elbows until the upper arms are parallel to the floor. Keep the elbows close to the body. The legs and torso should be in one straight line. Gaze toward the floor.Breathe while holding the pose.,Tip of the nose,"Avoid if there is shoulder injury
Lower the knees to the floor if needed","Strengthens the arms and back
Builds core strength
Builds physical stamina"
Dandasana,Staff Pose,Beginner,"Core, Seated Poses, Strength","Sit with the legs outstretched.Engage the feet, drawing the toes toward the shins.Place the hands on the floor next to the hips.Engage the core and lift the top of the head toward the sky.Breathe while holding the pose.",Third Eye,No known cautions.,"Improves posture.
Builds core strength.
Develops hamstring flexibility."
Dhanurasana,Bow Pose,Beginner,"Backbends, Chest Openers, Hip Openers",Lie on your stomach with your forehead resting on the floor.Bend your knees with an exhale and clasp the outsides of your ankles.Inhale as you kick your feet away from you and lift your head and chest from the floor.Breathe as you hold the pose.,Tip of the nose,Avoid if you have high blood pressure or a hernia,"Improves digestion
Improves functioning of reproductive organs
Relieves constipation
Increases circulation
Corrects posture
Invigorates the mind
Relieves fatigue"
Dwi pada viparita dandasana,Upward-Facing Two-Legged Staff Pose,Advanced,"Backbends, Balancing, Chest Openers, Inversions, Strength","Lie on the back. Bend the knees and bring them near the buttocks, about hip distance wide.Bring the palms to the floor next to the head.Exhale and push into the hands to lift the hips, chest and head. Reposition the head so that top of the head is on the floor as if you were coming into headstand.Carefully lower the forearms onto the floor and interlace the fingers in a headstand position.Walk the feet out until the legs are straight.Breathe while holding the pose.Walk the feet back in, then exhale and carefully lower.",Toward the sky,Only advanced practitioners should attempt this pose and only after warming up the body.,"Improves posture by enhancing flexibility and elasticity
Stretches and strengthens the back, neck, arm and leg muscles
Enhances core stability, balance and endurance
Boosts mental focus and concentration
Soothes the mind and reduces stress"
Eka Pada Rajakapotasana A,One-Legged King Pigeon Pose A,Advanced,"Backbends, Binds, Chest Openers, Hip Openers","Begin in pigeon pose with the right foot back.Exhale and bend the right foot toward the buttocks.Inhale and reach the right arm (and left arm, if possible) up and back. Clasp the right toes with both hands.Breathe while holding the pose.",Tip of the nose,"Beginners should gradually build up to this advanced posture
Avoid if there is low back or hip injury","Opens the chest and lungs
Deeply stretches the hips
Stretches the abdominal organs"
Garudasana,Eagle Pose,Beginner,"Balancing, Binds, Standing Poses","From a standing position, exhale and wrap the right leg over the left, knees slightly bent. Hook the right foot behind the left calf.Exhale and bring the right forearm under the left.Touch the palms together.Breathe while balancing in the pose.",Tip of the nose,"Use the wall as support, if needed","Improves balance
Develops focus and concentration
Improves joint flexibility"
Gomukhasana,Cow Face Pose,Beginner,"Chest Openers, Hip Openers, Seated Poses","Sit with your legs folded underneath you as in thunderbolt pose.Lean to your right and cross your left leg over your right leg, stacking your knees. Point your toes behind you.Reach your right hand behind your back with an exhale.Reach your left arm up with an inhale and lengthen your spine.Clasp your hands behind your back.Close your eyes and breathe while holding the pose.",Third Eye,"Do not strain; if hands don't touch behind the back, hold opposite elbows.","Relieves pain and stiffness in the back
Stretches the legs and hips
Improves posture
Relaxes the mind
Increases energy"
Halasana,Plow Pose,Beginner,"Forward Bends, Inversions","Begin on your back.Inhale and lift your legs toward the sky, then support your back with your hands.Exhale and lower your legs, resting your toes on the floor.If your feet touch the floor, place your arms on the ground, palms down.Breathe while holding the pose.",Navel,"Avoid if you have a back injury, sciatica or a hernia.","Improves spinal flexibility
Improves digestion
Regulates thyroid function
Calms the nervous system"
Hanumanasana,Monkey Pose,Advanced,"Balancing, Chest Openers, Hip Openers, Seated Poses","Begin kneeling with the fingertips resting on the floor beside the knees.Exhale and stretch the left leg forward. At the same time stretch the right leg back. Keep the weight in the hands.Once the front hamstring and back thigh touch the floor, inhale and lift the arms to the sky.Breathe while holding the pose.Inhale and carefully return to kneeling. Change sides.",Tip of the nose,Avoid if there is hip injury,"Improves flexibility in the hips and groins
Tones the legs
Relieves sciatica
Reduces stress and fatigue
Builds balance and alignment"
Janu Sirsasana A,Head-to-Knee Pose A,Beginner,"Forward Bends, Hip Openers, Seated Poses",Sit with the legs outstretched.Exhale and bend the right leg in so that the sole of the foot rests against the left inner thigh.Inhale and reach up. Exhale and fold forward. Grab hold of the left foot. Bring the nose toward the knee or shin.Breathe while holding the pose.Inhale and rise. Change sides.,Tip of the nose,Avoid if there is lower back injury,"Stretches the hamstrings and hips
Lengthens the spine
Stimulates the kidneys and liver
Improves digestion
Calms the mind"
Kapotasana,Pigeon Pose,Beginner,"Backbends, Hip Openers, Seated Poses","Begin in downward facing dog.Exhale and bring the left leg forward, bending the knee. Place the calf and outer thigh on the floor.Lower the pelvis toward the floor. Stretch the back leg straight back, toes untucked.Support an upright torso with the fingertips on the floor beside the hips. Open the chest and gaze forward.Breathe while holding the pose.Inhale and step back to downward facing dog. Change sides.",Tip of the nose,Avoid if there is hip injury,"Opens the hips
Improves blood circulation
Boosts energy
Improves focus and stills the mind
Stimulates the reproductive, nervous and endocrine systems
Improves digestion"
Krounchasana,Heron Pose,Intermediate,"Core, Forward Bends, Seated Poses","Sit with the legs outstretched. Bend the right leg back so that the calf rests next to the thigh.Exhale and bend the left knee toward the chest, then grab hold of the foot with both hands. Extend the leg upward.Inhale, then exhale and draw the torso toward the leg and the leg toward the torso.Breathe while holding the pose.Exhale and release. Change sides.",Tip of the nose,Avoid if there is knee injury,"Stretches the hamstrings and calf muscles
Stretches the quadriceps
Tones abdominal organs and promotes digestive function"
Kumbhakasana,Plank Pose,Beginner,"Core, Strength",Begin in downward facing dog with the hands under the shoulders.Inhale and shift the torso forward so that the legs and torso are in one diagonal line. Engage the core. Gaze at the floor.Breathe while holding the pose.,Tip of the nose,Avoid if there is carpal tunnel syndrome or wrist injury,"Strengthens the core
Strengthens the arms and wrists
Stimulates digestion"
Makara Adho Mukha Svanasana,Dolphin Plank Pose,Beginner,"Core, Strength",Start on all fours.Lower the forearms to the floor with an exhale.Spread the fingers.Walk the feet back with an inhale so that the body is in one diagonal line.Breathe while holding the pose.,Tip of the nose,Lower your knees to the floor if needed,"Strengthens the core
Strengthens the arms and shoulders"
Malasana,Garland Pose,Beginner,Hip Openers,"Begin standing with the feet slightly wider than the hips.Exhale and bend the knees, lowering the hips so that they hover just above the floor. Widen the feet if needed.Bring the palms to meet in prayer position in front of the chest and press the elbows against the knees.Breathe while holding the pose.",Tip of the nose,Place a folded blanket under the heels if they don't reach the floor,"Opens the hips
Increases flexibility in the knees and ankles
Improves circulation to the abdominal organs and pelvis
Relieves constipation
Reduces stress"
Marichyasana,Marichi's Pose,Intermediate,"Binds, Forward Bends, Seated Poses, Twists","Sit with your legs outstretched, then exhale and bend your left knee. Place your left foot near your left buttock.Inhale and reach your left arm around your left leg. Clasp your hands behind your back.Exhale and twist to the left, then fold forward.Breathe while holding the pose.",Tip of the nose,No known cautions.,"Improves blood flow to abdominal organs
Stretches the spine
Improves flexibility in the legs
Relieves constipation"
Marichyasana C,Marichi's Pose C,Advanced,"Binds, Seated Poses, Twists","Sit with the legs outstretched.Bend the right leg. Place the foot close to the right buttocks.Exhale and twist to the right.Reach the left arm around the right leg. Reach the right arm behind, then grab hold of the wrist. Gaze to the left.Inhale and untwist. Change sides.",Side,"Avoid twisting from the lumbar spine
Use caution if there is shoulder injury","Stretches the spine and improves flexibility
Stimulates the abdominal organs
Improves digestion and elimination
Helps the body to detox"
Marjaryasana,Cat Pose,Beginner,"Core, Strength","Start on all fours.Bring your knees under your hips and your hands under your shoulders.Exhale and round your spine, bringing your head and tailbone toward the floor.",Navel,Avoid if there is knee or wrist injury,"Stretches the spine
Strengthens the core
Relaxes the mind"
Matsayasana,Fish Pose,Beginner,"Backbends, Chest Openers","Lie on the back with the legs together.Place the hands under the buttocks, palms down.Inhale and lift the heart toward the sky. Rest on the forearms. Lean the head back so that it touches the floor. Do not rest on the head.Breathe while holding the pose.",Toward the sky,Avoid if there is neck pain or injury,"Opens the chest and lungs
Improves upper body posture
Stimulates the thyroid
Stretches the abdominal organs"
Mayurasana,Peacock Pose,Advanced,"Arm Balances, Balancing, Core, Strength","Begin kneeling. Place the hands on the floor, fingers pointing toward the body.Bend the elbows and lower the torso so that the chest rests on the upper arms.Stretch the legs back.Exhale and lift the legs from the floor. At the same time lean the torso forward. The body should be in one line and parallel to the floor.Breathe while balancing in the pose.Exhale and lower the legs to the floor to release.",Tip of the nose,"Only practice on an empty stomach and toward the end of an asana practice
Avoid if there is wrist, shoulder or back injury","Develops balance
Strengthens the arms, wrists and forearms
Improves circulation to the abdominal organs
Improves digestion
Helps the body to eliminate toxins
Boosts focus
Energizes the mind"
Natarajasana,Dancer's Pose,Intermediate,"Backbends, Balancing, Chest Openers, Hip Openers, Standing Poses","From standing, exhale and lift the right foot near the buttocks. Clasp the ankle with the right hand.Inhale and reach the left arm forward.Exhale and stretch the right leg up and back, lifting the toes as high as is comfortable.Breathe while balancing in the pose.",Tip of the nose,Avoid if there is ankle or low back injury,"Opens the chest and lungs
Improve balance
Improves focus and concentration
Strengthens the legs
Opens the hips"
Navasana,Boat Pose,Intermediate,"Balancing, Core, Strength","Sit with your legs straight ahead.Lift through the sternum and lean back slightly while engaging your abdomen.Draw your knees in toward your chest, balancing on your sit bones.Then slowly lengthen your legs until you are resting on your sit bones and your body makes a ""V"" shape.Lengthen your arms ahead of you until your arms are straight and parallel to the floor.",Tip of the toes,Avoid during pregnancy,"Strengthens the hip flexors, spine, and abdomen
Improves digestion
Stimulates the thyroid and kidneys"
Padmasana,Lotus Pose,Advanced,"Hip Openers, Seated Poses",Sit with your legs outstretched.Bend one leg and place the foot on top of the opposite thigh.Carefully bend the other leg and place the foot on top of the opposite thigh.Rest your hands on your thighs. Inhale and lengthen your spine.Close your eyes and breathe while holding the pose.,Third Eye,"Avoid if you have sciatica, a knee injury or are pregnant.","Brings steadiness to the body and mind
Directs prana upward
Encourages blood flow to the abdomen
Stretches the hips"
Parighasana,Gate Pose,Beginner,"Chest Openers, Hip Openers","Begin kneeling.Exhale and stretch the right leg out to the side.Inhale and reach the arms out to the sides.Exhale and reach the left arm up, overhead and to the right, opening the side body. Rest the right hand on the right leg.Breathe while holding the pose. Inhale and return to center. Change sides.",Toward the sky,No known cautions,"Stretches the hips, groins and shoulders
Improves digestion
Opens the chest and lungs
Increases spinal flexibility"
Parivrtta Janu Sirsasana,Revolved Head-to-Knee Pose,Advanced,"Binds, Chest Openers, Hip Openers, Seated Poses, Twists","Sit with the legs outstretched.Bend the left leg and place the foot near the groin.Extend the right arm forward and twist it toward the leg. Grab hold of the inside of the right foot.Inhale and reach the left arm up and over. Grab hold of the foot.Bend the elbows and twist deeper, turning the torso toward the sky.Breathe while holding the pose.Exhale and release. Untwist and change sides.",Toward the sky,"Avoid if there is knee, hip, back or shoulder injury","Stretches the hamstrings, back and shoulders
Stimulates the liver, kidneys and abdominal organs
Invigorates digestion
Improves circulation to the spine
Relieves mild backache"
Parivrtta Parsvakonasana,Revolved Side Angle Pose,Intermediate,"Balancing, Forward Bends, Standing Poses, Twists","Start in a lunge with your right foot forward, back foot on the floor and at an outward angle.Exhale and rotate to the right, bringing your left hand to the floor outside of your right foot.Inhale and reach your right arm up and then alongside your ear.Breathe while holding the pose.",Toward the sky,Avoid this pose if you have high or low blood pressure.,"Improves digestion
Brings fresh blood to the spine
Tones the legs
Improves balance
Increases stamina"
Parivrtta Trikonasana,Revolved Triangle Pose,Intermediate,"Balancing, Forward Bends, Standing Poses, Twists","From standing, exhale and step your left foot a few feet back. Point the toes to the left.Inhale and reach your left arm toward the sky.Exhale and bend forward. Twist to the right and place your left fingertips on the floor outside of your right foot.Inhale and reach your right arm toward the sky.Breathe while in the pose.",Toward the sky,Avoid if you have a back injury.,"Increases spinal flexibility
Tones the legs
Relieves back pain
Stimulates digestion
Challenges balance and coordination"
Parsva bakasana,Side Crow Pose,Intermediate,"Arm Balances, Balancing, Core, Strength, Twists","Begin in a squat with the feet together.Exhale and twist to the left. Place the palms on the floor to the left side of the body, about shoulder distance wide.Raise the buttocks, rest the left buttock on the back of the left arm, and bend the arms deeply.Tip forward and lift the feet from the floor. Use core strength to balance on the hands.Breathe while holding the pose.Exhale and lower. Change sides.",Side,"Avoid if there is wrist, arm or shoulder injury.","Strengthens the wrists and arms
Tones the abdominal muscles
Promotes physical and mental coordination
Improves core strength
Stretches the spine
Improves concentration
Develops self confidence"
Parsvottanasana,Pyramid Pose,Intermediate,"Balancing, Forward Bends, Inversions, Standing Poses","Begin in mountain.Exhale and step the right foot 2 to 3 feet back. Point the toes about 40 degrees to the right. The heels should be in one line.Inhale and bring the palms into reverse prayer behind the back.Exhale and fold forward, drawing the head toward the shin.Breathe while holding the pose. Inhale and rise. Exhale and step back to mountain. Change sides.",Tip of the nose,Avoid if there is high blood pressure.,"Stretches the calves and hamstrings.
Lengthens the spine.
Stimulates abdominal organs and improves digestion.
Develops balance and improves posture."
Pasasana,Bound Revolved Squatting Toe Balance,Intermediate,"Balancing, Binds, Chest Openers, Twists","Begin squatting with the feet flat on the floor and knees together.Exhale and reach the left arm outside of the right thigh, then bend the elbow and bring the hand near the left hip.Reach the right arm behind the back. Clasp the hands and then the wrists.Exhale and twist the torso further to the right. Gaze over the right shoulder.Breathe while holding the pose.Inhale and unwind. Change sides.",Side,Avoid straining the neck if there is neck injury.,"Improves balance
Strengthens and improves flexibility in the ankles, knees and thighs
Improves flexibility in the spine and shoulders
Stimulates the abdominal organs and improves digestion
Useful for diabetes"
Paschimottanasana,Seated Forward Bend Pose,Beginner,"Forward Bends, Seated Poses","Sit with your legs stretched in front of you and together.Reach your arms up with an inhale to lengthen your spine.Fold forward with an exhale.Clasp the outsides of your feet, ankles or calves, depending on your flexibility.Relax your head so that it's in line with your spine.Breathe while you hold the pose.",Tip of the nose,Avoid if you have asthma or acute back injury,"Stretches the hamstrings
Stretches the spine
Stimulates digestion
Calms the mind
Facilitates pratyahara (withdrawal of senses)"
Pincha Mayurasana,Forearm Stand,Advanced,"Arm Balances, Balancing, Core, Inversions, Strength",Begin in dolphin pose with the forearms parallel and fingers spread wide. The elbows should be no wider than the shoulders. Look forward.Exhale and kick the feet up one at a time. Point the toes and balance on the forearms.Keep reaching the toes toward the sky and pressing the elbows into the floor to lift out of the shoulders.Breathe while holding the pose.,Tip of the nose,Avoid if there is shoulder injury,"Strengthens the shoulders and arms
Strengthens the core
Improves balance and focus
Brings fresh blood to the brain
Calms and clears the mind"
Prasarita Padottanasana,Wide-Legged Forward Bend,Beginner,"Forward Bends, Hip Openers, Inversions, Standing Poses",Stand with your feet wide.Exhale and fold forward. Clasp your ankles with your hands.Let your head hang heavy.Breathe while holding the pose.,Tip of the nose,Avoid this pose if you have a hip or back injury.,"Stretches the spine
Improves hamstring flexibility
Stimulates digestion
Brings fresh blood to the brain
Relaxes the mind"
Purvottanasana,Upward Plank Pose,Beginner,"Backbends, Chest Openers, Core, Strength","Begin sitting with the legs outstretched and together.Place the hands behind the buttocks with the fingers pointing in.Inhale and point the toes, then push into the feet and hands to lift the hips. Allow the head to gently drop back.Breathe while holding the pose.Exhale and gently release.",Toward the sky,Avoid if there is wrist or shoulder injury.,"Strengthens the wrists, shoulders and arms
Opens the chest and improves respiratory function
Improves circulation
Invigorates the body and mind
Brings balance after forward bends"
Salabhasana,Locust Pose,Beginner,"Backbends, Chest Openers","Lie on your belly with your legs together.Bring your arms by your sides, palms facing up.Lift your feet, legs, head and chest with an inhale.Stretch your head and toes away from each other.Breathe while holding the pose.",Tip of the nose,Avoid if you have heart conditions and/or high blood pressure,"Strengthens the back, legs and arms
Improves digestion
Relieves back pain
Invigorates the mind"
Salamba Bhujangasana,Sphinx Pose,Beginner,Backbends,"Lie on the belly with the forearms on the floor, palms near the head.Inhale and lift the head and chest from the floor.Exhale and slide the forearms forward to relieve any compression in the back.Breathe while holding the pose.",Tip of the nose,No known cautions,"Strengthens the spine
Stretches the back and relieves back pain
Expands the lungs
Stimulates digestion
Soothes the nervous system"
Salamba Sirsasana,Supported Headstand Pose,Beginner,"Balancing, Core, Inversions","Kneel and place your forearms on the floor.Hold on to opposite elbows.Release your hands, keeping your elbows where they are, and interlace your fingers.Bring the crown of your head to the floor so that the back of your head is almost touching your hands.Tuck your toes and lift your hips.Walk your feet toward you with an exhale.One by one, bring your knees into your chest with an inhale.Straighten your legs and reach your feet toward the sky with an exhale, drawing your ribs in.Focus your gaze a few feet ahead and breathe while holding the pose.",Tip of the nose,"Avoid for neck pain, high blood pressure, glaucoma, headache and heart conditions
Always learn this pose from a qualified teacher","Strengthens core and spine
Brings fresh blood to the brain
Stimulates the sahasrara chakra
Revitalizes the mind
Relieves anxiety"
Sarvangasana,Shoulder Stand Pose,Intermediate,Inversions,"Lie on your back. Inhale and reach your feet up, lifting your hips.Support your low back with your hands.Draw your elbows toward each other. Walk your hands further toward your shoulders to lift your hips higher.Straighten your legs and relax your feet.Exhale and release your arms to the floor.Breathe normally while holding the pose.",Navel,"Avoid if you have had a neck injury, have an enlarged thyroid, a back injury or high blood pressure. 
In the beginning stages, support your back with your hands.","Delivers fresh blood to the brain
Stimulates the thyroid
Relaxes the mind"
Savasana,Corpse Pose,Beginner,Restorative,"Lie on your back.Bring your feet wide and your hands a few inches away from your body, palms facing up and fingers relaxed.Close your eyes and relax your whole body.Breathe while holding the pose.",Third Eye,Pregnant yoginis must use a blanket or other yoga prop to elevate the back,"Relaxes body and mind
Releases lactic acid buildup
Recharges the body's energy
Allows mind to go inward"
Setu Bandha Sarvangasana,Bridge Pose,Beginner,"Backbends, Chest Openers","Begin by lying on the back with the knees bent, feet under the knees and hip distance wide. Keep the arms by the body, palms down.Inhale and lift the hips toward the sky.Interlace the fingers on the floor and tuck the shoulders under.Breathe while holding the pose.",Navel,Avoid if you have neck or back injury,"Stretches the spine
Expands the chest and promotes lung function
Improves digestion
Improves  circulation
Helps treat menstrual pain and menopausal symptoms
Treats back pain and osteoporosis
Relieves insomnia
Increases energy"
Sukhasana,Easy Pose,Beginner,Seated Poses,"Sit with your legs stretched out.Exhale and bend your legs, tucking each foot under the opposite thigh. Reach the crown of your head upward.Rest your hands in your lap. Close your eyes.Breathe normally while holding the pose.",Third Eye,,"Stretches the hips
Brings a sense of physical and mental ease"
Supta Baddha Konasana,Reclining Bound Angle Pose,Beginner,"Hip Openers, Restorative","Lie on the back.Exhale and draw the soles of the feet together as the knees widen.Rest the arms alongside the body, palms facing up.Breathe while holding the pose.",Third Eye,Those with tight hips should support the knees with blankets or bolsters,"Stretches the inner thighs and groin
Increases hip flexibility
Relaxes the mind and relieves fatigue
Reduces PMS symptoms"
Supta Matsyendrasana,Supine Spinal Twist Pose,Beginner,Twists,"Begin on your back. Exhale and bend your right leg, knee toward the sky.Inhale and reach your right arm to the right, palm on the ground.Place your left hand on your right knee.Exhale and lower your knee to the left. Turn your head to the right.Breathe while holding the pose.On the next inhale, come back to center and straighten your right leg.Exhale and bend your left leg, knee toward the sky.Inhale and reach your left arm to the left, palm on the ground.Place your right hand on your left knee.Exhale and lower your knee to the right. Turn your head to the left.Breathe while holding the pose.",Side,Avoid if there is hip or back injury,"Stretches the spine and back
Stimulates digestion
Energizes the body
Relieves stress and calms the mind"
